$GPCHC,2122,378005.00,87.01,1.45,0.65,0.03,-0.15,-0.09,-0.0114,0.0254,0.9994,32.02625281,118.85731983,67.72,-0.000,-0.011,0.058,0.011,20,19,41,1,2*4D
$GPCHC,2122,378006.00,86.99,1.47,0.67,0.03,-0.16,-0.09,-0.0116,0.0256,0.9988,32.02625283,118.85731988,67.70,0.038,0.000,-0.059,0.038,20,19,41,1,2*67
$GPCHC,2122,378007.00,86.89,1.47,0.66,0.05,-0.12,-0.06,-0.0115,0.0256,0.9991,32.02625281,118.85731984,67.70,-0.015,0.004,0.036,0.016,20,18,41,1,2*61
$GPCHC,2122,378008.00,87.15,1.46,0.65,0.03,-0.15,-0.08,-0.0114,0.0254,0.9992,32.02625280,118.85731987,67.71,0.013,-0.005,0.002,0.014,20,18,41,1,2*66
$GPCHC,2122,378009.00,87.10,1.46,0.66,0.02,-0.13,-0.08,-0.0116,0.0255,0.9988,32.02625280,118.85731985,67.71,-0.014,0.003,0.031,0.014,20,19,41,1,2*6C
$GPCHC,2122,378010.00,87.98,1.47,0.66,0.05,-0.14,-0.08,-0.0116,0.0256,0.9992,32.02625281,118.85731988,67.70,0.006,0.013,-0.038,0.014,20,19,41,1,2*6B
$GPCHC,2122,378011.00,87.80,1.46,0.65,0.02,-0.14,-0.05,-0.0114,0.0255,0.9991,32.02625282,118.85731985,67.71,0.021,0.015,-0.016,0.026,20,19,41,1,2*68
$GPCHC,2122,378012.00,87.26,1.46,0.67,0.02,-0.16,-0.08,-0.0117,0.0255,0.9991,32.02625281,118.85731983,67.71,-0.007,-0.002,0.011,0.008,20,19,41,1,2*48
$GPCHC,2122,378013.00,87.20,1.48,0.66,0.01,-0.16,-0.03,-0.0116,0.0257,0.9989,32.02625280,118.85731988,67.70,0.016,-0.010,-0.017,0.019,20,19,41,1,2*4C
$GPCHC,2122,378014.00,87.11,1.47,0.65,0.04,-0.14,-0.08,-0.0113,0.0256,0.9991,32.02625282,118.85731991,67.70,0.013,0.008,0.000,0.015,20,18,41,1,2*49
$GPCHC,2122,378015.00,87.12,1.46,0.66,0.05,-0.13,-0.07,-0.0115,0.0254,0.9988,32.02625280,118.85731984,67.71,-0.021,0.002,0.005,0.021,20,18,41,1,2*6F
$GPCHC,2122,378016.00,87.32,1.47,0.66,0.04,-0.12,-0.12,-0.0116,0.0256,0.9988,32.02625279,118.85731985,67.70,0.005,-0.002,-0.000,0.006,20,19,41,1,2*46
$GPCHC,2122,378017.00,87.18,1.48,0.65,0.02,-0.14,-0.09,-0.0114,0.0258,0.9992,32.02625280,118.85731988,67.70,-0.003,-0.003,0.003,0.004,20,18,41,1,2*42
$GPCHC,2122,378018.00,87.10,1.46,0.66,0.02,-0.16,-0.06,-0.0114,0.0255,0.9988,32.02625282,118.85731988,67.70,-0.006,-0.006,0.037,0.009,20,18,41,1,2*4B
$GPCHC,2122,378019.00,87.06,1.46,0.67,0.03,-0.12,-0.07,-0.0117,0.0256,0.9993,32.02625281,118.85731990,67.69,0.009,0.002,-0.009,0.010,20,18,41,1,2*63
$GPCHC,2122,378020.00,87.18,1.47,0.66,0.07,-0.13,-0.04,-0.0115,0.0257,0.9990,32.02625279,118.85731988,67.70,-0.003,-0.011,0.040,0.012,20,18,41,1,2*4C
$GPCHC,2122,378021.00,87.06,1.48,0.65,0.01,-0.15,-0.08,-0.0113,0.0258,0.9990,32.02625277,118.85731993,67.70,0.010,-0.009,-0.015,0.013,20,18,41,1,2*45
$GPCHC,2122,378022.00,87.02,1.49,0.66,0.01,-0.15,-0.08,-0.0115,0.0259,0.9990,32.02625279,118.85731993,67.70,0.021,0.001,-0.010,0.021,20,17,41,1,2*65
$GPCHC,2122,378023.00,87.06,1.46,0.66,0.06,-0.15,-0.10,-0.0115,0.0255,0.9988,32.02625281,118.85731988,67.70,-0.005,0.009,0.008,0.011,20,18,41,1,2*62
$GPCHC,2122,378024.00,87.23,1.48,0.66,0.03,-0.14,-0.04,-0.0115,0.0258,0.9990,32.02625280,118.85731991,67.69,0.006,0.012,0.023,0.013,20,19,41,1,2*46
$GPCHC,2122,378025.00,87.19,1.47,0.66,0.03,-0.16,-0.04,-0.0116,0.0257,0.9988,32.02625279,118.85731996,67.69,-0.010,0.004,0.003,0.011,20,18,41,1,2*6B
$GPCHC,2122,378026.00,87.10,1.47,0.66,0.05,-0.14,-0.06,-0.0115,0.0257,0.9990,32.02625280,118.85731994,67.69,-0.005,0.010,0.021,0.011,20,18,41,1,2*68
